incidente,data_inclusao,andamento_origem,and_complemento,tipo_questao_corrigido
4981835,01/03/2019,Inclua-se em pauta - minuta extraída,Julgamento Virtual: ADI-AgR - Agendado para: 15/03/2019.,RC
4982736,22/10/2018,Inclua-se em pauta - minuta extraída,Julgamento Virtual: ADI-ED-segundos - Agendado para: 02/11/2018.,RC
5069882,17/09/2018,Inclua-se em pauta - minuta extraída,Julgamento Virtual: ADI-MC-AgR - Agendado para: 28/09/2018.,RC
5092096,29/04/2019,Inclua-se em pauta - minuta extraída,Julgamento Virtual: ADO-AgR - Agendado para: 10/05/2019.,RC
5177424,05/11/2018,Inclua-se em pauta - minuta extraída,Julgamento Virtual: ADPF-AgR-ED - Agendado para: 16/11/2018.,RC
5192888,22/10/2018,Inclua-se em pauta - minuta extraída,Julgamento Virtual: ADPF-AgR - Agendado para: 02/11/2018.,RC
5325783,31/01/2019,Inclua-se em pauta - minuta extraída,Julgamento Virtual: ADI-AgR - Agendado para: 15/02/2019.,RC
5331287,22/10/2018,Inclua-se em pauta - minuta extraída,Julgamento Virtual: ADI-AgR-ED - Agendado para: 02/11/2018.,RC
5332354,02/04/2019,Inclua-se em pauta - minuta extraída,Julgamento Virtual: ADI-AgR - Agendado para: 12/04/2019.,RC
5336307,01/03/2019,Inclua-se em pauta - minuta extraída,Julgamento Virtual: ADO-AgR - Agendado para: 15/03/2019.,RC
5385252,14/05/2019,Inclua-se em pauta - minuta extraída,Julgamento Virtual: ADI-AgR - Agendado para: 24/05/2019.,RC
5436767,07/05/2019,Inclua-se em pauta - minuta extraída,Julgamento Virtual: ADO-AgR - Agendado para: 17/05/2019.,RC
5461897,27/11/2018,Inclua-se em pauta - minuta extraída,Julgamento Virtual: ADPF-AgR - Agendado para: 07/12/2018.,RC
5462671,22/10/2018,Inclua-se em pauta - minuta extraída,Julgamento Virtual: ADO-AgR - Agendado para: 02/11/2018.,RC
5528397,22/10/2018,Inclua-se em pauta - minuta extraída,Julgamento Virtual: ADI-AgR - Agendado para: 02/11/2018.,RC
5550172,27/05/2019,Inclua-se em pauta - minuta extraída,Julgamento Virtual: ADI-AgR - Agendado para: 07/06/2019.,RC
5589797,24/05/2019,Inclua-se em pauta - minuta extraída,Julgamento Virtual: ADC-AgR - Agendado para: 07/06/2019.,RC
5591608,08/03/2019,Inclua-se em pauta - minuta extraída,Julgamento Virtual: ADPF-AgR - Agendado para: 22/03/2019.,RC
5618021,14/05/2019,Inclua-se em pauta - minuta extraída,Julgamento Virtual: ADPF-ED - Agendado para: 24/05/2019.,RC
5635488,14/05/2019,Inclua-se em pauta - minuta extraída,Julgamento Virtual: ADI-AgR - Agendado para: 24/05/2019.,RC
5640666,29/04/2019,Inclua-se em pauta - minuta extraída,Julgamento Virtual: ADPF-AgR - Agendado para: 10/05/2019.,RC
5640666,04/06/2019,Inclua-se em pauta - minuta extraída,Julgamento Virtual: ADPF-AgR-ED - Agendado para: 14/06/2019.,RC
5651865,14/06/2019,Inclua-se em pauta - minuta extraída,Julgamento Virtual: ADI-AgR - Agendado para: 28/06/2019.,RC
5654900,14/05/2019,Inclua-se em pauta - minuta extraída,Julgamento Virtual: ADI-AgR - Agendado para: 24/05/2019.,RC
5657050,11/04/2019,Inclua-se em pauta - minuta extraída,Julgamento Virtual: ADI-AgR - Agendado para: 26/04/2019.,RC
